Year,site,date,treatment,ldist,hdist,temp,windm,lbee_vis,hbee_vis,flDens,Bay
2015,Woudwijk 1,7/10/2015,Double tent,47,248,27.5,0,6,11,1092,Female
2015,Woudwijk 1,7/10/2015,Double tent,47,248,27.5,0,3,28,1299.2,Male
2015,Woudwijk 1,7/10/2015,Double tent,55,56,24,0.4,0,9,336,Female
2015,Woudwijk 1,7/10/2015,Double tent,55,56,24,0.4,0,16,528,Male
2015,Woudwijk 2,7/9/2015,Double tent and bees,4,73,28.3,1.6,42,1,NA,Female
2015,Woudwijk 2,7/9/2015,Double tent and bees,4,73,30.1,0.7,85,0,NA,Female
2015,Woudwijk 2,7/9/2015,Double tent and bees,4,73,28.3,1.6,64,1,NA,Male
2015,Woudwijk 2,7/9/2015,Double tent and bees,4,73,30.1,0.7,81,0,NA,Male
2015,Woudwijk 2,7/9/2015,Double tent and bees,5,572,31.3,0.3,95,0,1176,Female
2015,Woudwijk 2,7/9/2015,Double tent and bees,5,572,31.3,0.3,78,0,1960,Male
2015,Woudwijk 2,7/9/2015,Double tent and bees,28,540,30.7,0.5,5,4,1420,Female
2015,Woudwijk 2,7/9/2015,Double tent and bees,28,540,30.7,0.5,17,2,1508.8,Male
2015,Woudwijk 2,7/9/2015,Double tent and bees,35,64,29.2,0.3,52,2,NA,Female
2015,Woudwijk 2,7/9/2015,Double tent and bees,35,64,29.2,0.3,17,0,NA,Male
2015,Woudwijk 2,7/9/2015,Double tent and bees,51,420,29.2,0.3,87,0,NA,Female
2015,Woudwijk 2,7/9/2015,Double tent and bees,51,420,29.2,0.3,81,0,NA,Male
2015,Woudwijk 3,7/14/2015,Double tent,5,91,20.2,1.1,3,0,288,Female
2015,Woudwijk 3,7/14/2015,Double tent,5,670,23.7,0,19,0,1068,Female
2015,Woudwijk 3,7/14/2015,Double tent,5,91,20.2,1.1,61,6,1564,Male
2015,Woudwijk 3,7/14/2015,Double tent,5,670,23.7,0,65,0,1006.4,Male
2015,Woudwijk 3,7/14/2015,Double tent,8,430,28.1,1.1,52,0,1355.2,Female
2015,Woudwijk 3,7/14/2015,Double tent,8,430,28.1,1.1,38,0,1368,Male
2015,Woudwijk 3,7/14/2015,Double tent,30,460,27,0.3,2,23,1243.2,Female
2015,Woudwijk 3,7/14/2015,Double tent,30,460,27,0.3,0,0,1824,Male
2015,Woudwijk 3,7/14/2015,Double tent,39,630,24.8,0.4,4,0,528,Female
2015,Woudwijk 3,7/14/2015,Double tent,39,630,24.8,0.4,0,0,NA,Male
2015,Woudwijk 3,7/14/2015,Double tent,51,70,20.6,0.8,0,0,NA,Female
2015,Woudwijk 3,7/14/2015,Double tent,51,70,20.6,0.8,0,0,301.6,Male
2015,Woudwijk 4,7/13/2015,Double tent and bees,5,55,27.6,1,85,0,864,Female
2015,Woudwijk 4,7/13/2015,Double tent and bees,5,55,27.6,1,56,1,639.2,Male
2015,Woudwijk 4,7/13/2015,Double tent and bees,8,550,24,1.1,2,0,734.4,Female
